geneId,diseaseId,Label
6514,C2919142,1
3691,C0000786,1
8407,C0015696,0
51594,C2751317,0
581,C0234247,0
3636,C3150943,0
57728,C0403553,1
81,C0017668,1
375790,C3808739,1
5728,C0006118,1
6007,C1849387,1
3398,C0035411,0
5592,C0016412,0
9687,C3281138,0
8573,C1845546,1
10451,C0017661,1
1737,C1835928,0
728724,C0023418,1
1615,C0342287,0
57412,C4310776,0
5879,C4540321,1
51649,C0221043,0
3798,C4707173,1
1806,C0027947,1
6776,C1332347,1
4988,C0019147,1
2776,C0220633,1
9370,C0034069,1
57309,C4522164,0
55278,C0027430,0
7048,C0153942,1
58,C1834339,1
58497,C0266159,0
251,C0000786,1
7124,C0221227,1
4864,C0238198,1
7431,C0043094,1
255488,C1858725,0
4714,C0037274,1
83746,C0025149,1
2224,C4748484,0
64375,C0042900,1
55074,C1866129,1
83743,C0022107,0
109,C0028756,1
9401,C2749659,0
284252,C1846529,0
1544,C0042781,0
970,C0020437,0
23302,C0677598,0
64446,C0432090,0
23411,C0015695,1
4439,C3469524,1
6011,C3281153,0
57447,C1527335,1
5420,C3539013,0
22907,C0751955,0
9966,C0022797,0
4864,C0004153,1
128674,C0338503,1
55745,C1842197,0
55130,C0021603,0
1118,C4014239,0
22925,C0949856,0
5340,C0398621,1
1124,C2675858,0
6261,C4540488,0
4878,C1849386,0
2047,C3808940,0
4915,C2751855,0
775,C0085298,1
6347,C0011881,1
718,C1527335,1
374291,C4225378,0
3576,C0015404,1
2152,C4748257,0
4998,C0015934,1
7200,C0234374,1
57194,C0004352,1
1471,C0497327,1
54469,C4042763,1
23630,C0027662,0
5649,C0410574,0
150,C3810161,0
847,C0151526,1
5020,C0234306,1
50489,C0751437,0
2202,C0038874,0
2487,C0007196,0
3709,C0995195,1
22909,C2931118,1
7058,C0158252,1
26799,C4551559,0
657,C1868081,1
3748,C2750075,0
6904,C0393807,0
1535,C0266004,0
3909,C0268505,0
2214,C1846055,0
6714,C0699790,1
3605,C3553961,0
6157,C3668822,1
5080,C0002152,1
219771,C0268162,0
10544,C0010054,1
5444,C0266508,1
5159,C1841651,0
728655,C4693443,0
2735,C2749872,0
3576,C1832216,0
84631,C0268358,0
4867,C2675336,0
23414,C0235833,1
714,C1853202,0
2159,C0406727,0
64581,C1859353,1
7512,C0085215,1
146862,C0522224,1
146059,C0002893,0
476,C4552839,1
4852,C0009171,1
8626,C1449718,1
8626,C0016508,1
4921,C0345958,1
5986,C1832855,0
3868,C1706595,1
721,C0004364,1
10060,C1140716,0
3251,C1866777,0
1134,C4225405,1
6770,C4540232,0
55812,C2751780,1
2890,C4014414,0
4160,C0020505,1
134,C0751020,1
51292,C2750078,0
81704,C1527337,0
387700,C1868570,0
81848,C0272137,0
407020,C1969657,0
2120,C1332965,1
4094,C1833118,1
2070,C4538355,0
4869,C1449721,0
345193,C0038368,0
3242,C0002735,0
8869,C1847967,0
407026,C1704356,0
967,C0399380,0
225,C0206723,0
2693,C0751075,1
7517,C0018671,1
7325,C4748381,0
4893,C0079731,1
29957,C0344461,0
54205,C0040034,1
10804,C0162361,1
5673,C0151686,0
373156,C0029408,1
57309,C0432214,0
2212,C0392164,1
3689,C2930967,0
6262,C4310735,0
348980,C0427190,1
54898,C0020440,0
51142,C4048196,0
80774,C0027643,1
5921,C0152013,1
4547,C0015397,1
9168,C2673195,0
6928,C4540411,0
8671,C1836460,0
6336,C0038870,1
5053,C0751436,1
344805,C0751663,0
2778,C0014130,1
351,C0234985,1
30813,C0024439,1
2557,C0278161,1
5194,C3550234,1
4724,C0751473,0
6390,C0432307,0
5443,C0001231,1
79415,C0743002,0
79188,C1720824,1
6023,C0340970,1
7094,C1832615,0
6812,C0393706,1
2304,C0010308,1
94274,C0025500,1
53630,C0221026,0
7422,C0752305,1
2778,C0021655,1
5443,C0751508,1
7429,C1850168,0
955,C3809706,0
6774,C0023485,1
10112,C4310785,0
3397,C0005745,0
3084,C0007621,1
2549,C0032460,1
811,C0004565,1
659,C1150929,1
3356,C0752196,1
4568,C0220761,0
3351,C0004352,1
79133,C0079745,0
2301,C3492932,0
3663,C4225324,0
3481,C0019284,1
9652,C0265259,0
4846,C0034063,1
4162,C0026769,1
1297,C0013366,1
348980,C0268119,0
124093,C4225671,0
5617,C0033953,1
4191,C1150891,1
2952,C0345958,0
9474,C0023380,1
54209,C4011788,1
2010,C0410190,1
595,C0555202,1
6521,C1862324,1
291,C0949658,1
55034,C0013221,1
177,C2931826,0
100507600,C3661523,1
358,C0024667,1
573,C0268347,0
8943,C0027947,1
9992,C0751469,0
5213,C1857569,0
388228,C2931395,0
8643,C1956412,0
90427,C0023434,1
340156,C1846343,0
55364,C0268621,0
9024,C0280803,0
4852,C0002395,1
51293,C3150900,1
4089,C0796081,1
376132,C0751713,0
55037,C0026918,0
5305,C4539857,0
7030,C3280734,0
5243,C0020678,0
3700,C1318973,0
148789,C0457133,1
51604,C3809369,1
3856,C0162557,1
80173,C0546125,0
106480868,C2931004,0
23261,C0206732,1
3934,C0233565,0
6657,C0240991,1
5191,C0022548,0
3111,C4552089,0
5563,C0018564,0
5345,C3489734,1
64783,C4706584,1
27031,C3715199,1
1629,C1621920,1
2158,C0019069,1
324,C0151857,1
80308,C4310822,1
2645,C1865290,1
89953,C1848638,0
1908,C0019569,1
1794,C0267963,0
100506658,C0007621,1
259197,C1968845,0
18,C0917813,0
58156,C0542428,0
10717,C0432262,0
9184,C2931286,1
1840,C0279070,1
340419,C0751709,0
3732,C1858172,0
149041,C0024291,1
55112,C0271934,0
6513,C0346990,1
864,C0026998,1
51399,C1850456,1
239,C0087031,1
100507436,C0340493,0
221833,C0281784,0
3098,C3150343,1
11040,C0524679,0
374393,C1846529,0
857,C0014518,1
3603,C0151849,0
6637,C0005411,0
4763,C1834235,1
5352,C2750866,0
132,C1843004,0
2531,C4551983,0
2739,C0011573,1
57122,C0266833,0
26525,C0392439,1
23216,C3151421,0
1553,C4225195,0
9370,C0400966,1
5993,C1859536,1
255488,C4748799,0
9953,C0018036,0
1524,C0019693,1
4851,C0428791,1
1828,C4707237,1
2537,C1969343,0
79365,C4042891,1
6299,C0032230,0
2937,C0011616,1
22925,C0013146,1
5291,C4747769,0
6521,C0272051,1
5172,C1863752,1
91949,C2931010,1
50604,C4283894,0
5443,C0010692,1
93426,C0238286,0
23418,C0339527,1
3973,C0036875,1
55055,C0752207,0
4287,C0028313,0
2932,C0000772,1
6261,C1850674,1
7867,C1837029,1
60678,C4540488,0
3417,C0936248,1
346171,C0158981,1
1879,C3711531,0
5648,C0376634,1
1628,C4012409,0
3606,C0026640,1
345930,C3151113,0
6716,C0014170,1
6696,C0751633,1
84817,C0040715,0
7422,C0042076,1
9518,C0149721,1
27010,C1838100,0
241,C0751011,1
84879,C0037822,1
796,C0007852,1
3949,C0020443,1
57419,C0221055,0
317662,C0431399,1
332,C3149009,0
11133,C4310734,0
348,C0020445,1
10667,C0036631,0
3123,C0026654,1
11040,C4310677,0
5167,C0795934,0
338382,C2677587,0
80746,C2932714,1
186,C0003546,0
9456,C0013386,1
4882,C0268443,0
775,C4749652,0
8200,C1832708,1
1728,C0205874,1
4583,C2936793,0
10459,C4023676,0
410,C0751917,0
7272,C1854310,0
5140,C1867362,0
23461,C4225343,0
1061,C0011875,0
7494,C0015695,1
6000,C0264611,0
7979,C3151752,0
2737,C0220697,1
56978,C1859209,0
3767,C1864623,1
2052,C0151744,1
4299,C0006413,1
83480,C4310745,1
7001,C0085655,0
8673,C4521075,0
6515,C0751365,1
219902,C0751360,0
326,C2749602,1
29985,C0033975,1
3725,C0029463,1
3351,C0036337,1
3162,C0016059,1
442894,C0026633,0
219902,C2931208,0
5309,C0235031,1
7364,C3808874,0
10919,C0752256,0
4879,C1864872,0
55512,C4014435,0
9118,C3887612,0
54861,C3888102,0
5444,C0028797,1
84676,C0007194,1
79742,C1291373,0
59341,C0020429,1
3557,C0033687,1
7132,C0149910,1
3440,C1956131,1
6341,C0949857,1
6324,C0277850,0
406958,C0271685,0
2353,C4225236,0
9456,C0013221,1
10577,C1843366,1
26130,C4225379,0
55036,C0015499,0
8301,C1961099,1
1141,C0751643,1
64065,C0023479,0
8892,C3714796,0
10664,C0015544,0
2261,C0152423,1
574411,C4755264,0
134,C0013221,1
100126327,C0028313,0
3052,C1367420,0
1804,C4304540,0
6210,C0751195,0
3553,C0162672,1
7046,C1836635,1
6876,C3539495,0
6523,C0270496,0
55036,C0006267,1
80153,C1449720,0
2247,C4552029,0
3887,C1969957,0
5048,C0238358,0
10283,C4310683,0
7286,C0002452,1
83854,C0339693,0
407042,C0233754,0
284013,C0007134,1
80222,C2678483,0
93426,C0403720,0
669,C1291620,1
54861,C2752007,0
140767,C0020179,1
5055,C4310668,0
55110,C2931210,0
121256,C0038002,0
336,C1704417,1
3080,C0699728,0
11154,C3279743,1
1050,C0026998,1
10987,C0268345,0
1284,C3281105,1
54206,C0032460,1
29949,C3151139,0
4286,C4750999,1
51574,C3554439,1
23331,C2931456,1
8613,C1333046,0
3620,C0574084,0
91647,C3276276,1
7201,C0020443,0
284688,C0752307,0
2254,C3150900,0
374354,C1837229,0
572,C0018413,0
3691,C0079683,1
56547,C0393953,0
2056,C0033141,1
3172,C0041327,0
695,C0086438,1
9772,C3280538,0
81494,C4087273,1
3551,C4747743,1
664616,C0236742,0
3593,C0003872,1
4729,C1282971,0
114786,C2750732,0
4591,C0019209,1
79039,C1833340,0
3561,C0036920,1
2673,C0751885,1
7076,C0008311,1
1745,C3553029,0
4316,C0000786,1
4353,C0154695,0
1737,C0393588,1
3764,C0264893,1
4233,C0699791,1
26115,C1864623,0
3558,C0236795,1
7134,C1844934,0
10542,C1853124,0
6499,C0013362,0
51295,C0271384,0
65266,C1449842,1
4223,C0151744,1
9843,C4721812,0
6334,C0234375,1
113791,C1860315,0
836,C0027765,1
5293,C0334634,1
7042,C0008311,1
3596,C0004096,1
10060,C0340427,1
348932,C1832390,0
1062,C2931038,0
9031,C1844776,0
7157,C0153601,1
10911,C0043049,1
29893,C0685837,1
8313,C3806711,0
177,C0751373,1
1748,C0036421,0
9131,C0002152,1
3565,C0023283,1
156,C0007222,1
255022,C1856304,0
727,C4225281,0
51194,C0018213,0
3800,C1955869,1
1012,C1258085,1
2658,C4551861,1
9488,C0018564,1
54657,C0007570,1
8884,C0027746,1
3219,C2930976,1
54567,C0023895,0
9662,C0346302,0
7040,C0752291,0
1457,C0265287,0
2619,C0151888,0
590,C0002395,1
10059,C0151744,1
60,C1846331,1
3557,C0524988,1
9451,C0038220,1
55084,C0270855,0
2488,C0265223,0
83959,C3553869,0
5218,C1858677,0
1285,C3494425,0
2043,C4747940,0
6863,C0085129,1
30817,C4539951,0
1299,C1832216,0
6929,C0343640,1
5744,C0020429,1
8835,C0085110,0
4846,C0041956,1
10269,C0017668,1
7124,C2350878,1
1804,C0031030,0
51741,C0042076,1
