source,rel_type,target,source_type,target_type
C0017531,has_phenotype,C0017178,phenotype,phenotype
C0017531,has_phenotype,C0151603,phenotype,phenotype
C0017531,has_phenotype,C0302844,phenotype,phenotype
101928917,involved_in,GO:0006357,protein,function
C4281993,has_annotated,152110,phenotype,protein
C4281993,has_annotated,8647,phenotype,protein
C4281993,has_annotated,115399,phenotype,protein
C4281993,has_annotated,2622,phenotype,protein
C4281993,has_annotated,4868,phenotype,protein
C4281993,has_annotated,253959,phenotype,protein
C4281993,has_annotated,1767,phenotype,protein
C4281993,has_annotated,5160,phenotype,protein
C4281993,has_annotated,55790,phenotype,protein
C4281993,has_annotated,25981,phenotype,protein
C4281993,has_annotated,9325,phenotype,protein
C4281993,has_annotated,2239,phenotype,protein
C4281993,has_annotated,388389,phenotype,protein
26469,interacts_with,4624,protein,protein
26469,interacts_with,9693,protein,protein
26469,interacts_with,84617,protein,protein
26469,interacts_with,7534,protein,protein
26469,interacts_with,23099,protein,protein
26469,interacts_with,10456,protein,protein
26469,interacts_with,2064,protein,protein
26469,interacts_with,9625,protein,protein
26469,interacts_with,54998,protein,protein
26469,interacts_with,7006,protein,protein
C1835492,has_phenotype,C0151908,phenotype,phenotype
C1835492,has_phenotype,C0457756,phenotype,phenotype
C1835492,has_phenotype,C1832446,phenotype,phenotype
C1835492,has_phenotype,C2748682,phenotype,phenotype
C1835492,has_phenotype,C4023710,phenotype,phenotype
64978,interacts_with,11222,protein,protein
64978,interacts_with,65008,protein,protein
64978,interacts_with,51780,protein,protein
64978,interacts_with,131578,protein,protein
64978,interacts_with,254773,protein,protein
64978,interacts_with,10693,protein,protein
64978,interacts_with,90806,protein,protein
64978,interacts_with,65080,protein,protein
64978,interacts_with,6318,protein,protein
64978,interacts_with,8880,protein,protein
64978,interacts_with,3329,protein,protein
64978,interacts_with,54998,protein,protein
64978,interacts_with,84080,protein,protein
64978,interacts_with,84707,protein,protein
64978,interacts_with,90060,protein,protein
64978,interacts_with,91694,protein,protein
GO:1901492,is_a,GO:0051094,function,function
5604,interacts_with,4216,protein,protein
5604,interacts_with,221150,protein,protein
5604,interacts_with,7112,protein,protein
5604,interacts_with,6132,protein,protein
5604,interacts_with,6129,protein,protein
5604,interacts_with,55832,protein,protein
5604,interacts_with,25981,protein,protein
5604,interacts_with,648,protein,protein
5604,interacts_with,10221,protein,protein
5604,interacts_with,51028,protein,protein
5604,interacts_with,131034,protein,protein
5604,interacts_with,409,protein,protein
5604,interacts_with,7534,protein,protein
5604,interacts_with,26747,protein,protein
5604,interacts_with,1019,protein,protein
5604,interacts_with,8826,protein,protein
5604,interacts_with,3106,protein,protein
5604,interacts_with,983,protein,protein
5604,involved_in,GO:0071902,protein,function
5604,involved_in,GO:0045893,protein,function
5604,is_annotated_to,C1866231,protein,phenotype
5604,is_annotated_to,C0239676,protein,phenotype
5604,is_annotated_to,C0005745,protein,phenotype
5604,is_annotated_to,C0024636,protein,phenotype
5604,is_annotated_to,C0151908,protein,phenotype
5604,is_annotated_to,C0020458,protein,phenotype
5604,is_annotated_to,C0221357,protein,phenotype
5604,is_annotated_to,C3714756,protein,phenotype
5604,is_annotated_to,C0026827,protein,phenotype
5604,is_annotated_to,C0018817,protein,phenotype
5604,is_annotated_to,C0423867,protein,phenotype
5604,is_annotated_to,C1853237,protein,phenotype
5604,is_annotated_to,C0398639,protein,phenotype
5604,is_annotated_to,C0020757,protein,phenotype
5604,is_annotated_to,C1861869,protein,phenotype
5604,associated_with,C0007786,protein,phenotype
5604,associated_with,C0041409,protein,phenotype
5604,associated_with,C3809006,protein,phenotype
5604,associated_with,C4551484,protein,phenotype
5604,associated_with,C4551602,protein,phenotype
DB01041,treats,C0003873,drug,phenotype
C0878670,has_phenotype,C0151786,phenotype,phenotype
C0878670,has_phenotype,C0151904,phenotype,phenotype
C0878670,has_phenotype,C4020858,phenotype,phenotype
6327,interacts_with,2475,protein,protein
6327,interacts_with,55770,protein,protein
6327,interacts_with,3705,protein,protein
6327,interacts_with,84274,protein,protein
6327,involved_in,GO:0086012,protein,function
6327,is_annotated_to,C0020538,protein,phenotype
6327,is_annotated_to,C0018790,protein,phenotype
6327,associated_with,C1142166,protein,phenotype
6327,associated_with,C1843687,protein,phenotype
C0162678,has_annotated,6608,phenotype,protein
C0162678,has_annotated,6598,phenotype,protein
56903,interacts_with,26986,protein,protein
56903,interacts_with,25902,protein,protein
C0162739,has_phenotype,C0015934,phenotype,phenotype
C0162739,has_phenotype,C0020538,phenotype,phenotype
C0162739,has_phenotype,C0033687,phenotype,phenotype
C0162739,has_phenotype,C0086565,phenotype,phenotype
C0162739,has_phenotype,C0151766,phenotype,phenotype
C0162739,has_phenotype,C2609414,phenotype,phenotype
C4539903,has_phenotype,C1567435,phenotype,phenotype
GO:0021572,is_a,GO:0021546,function,function
C2931845,has_phenotype,C4020858,phenotype,phenotype
C4025711,has_annotated,1641,phenotype,protein
C4025711,has_annotated,4720,phenotype,protein
C0023897,has_annotated,1548,phenotype,protein
C0023897,has_annotated,2778,phenotype,protein
51157,interacts_with,5523,protein,protein
51157,interacts_with,386675,protein,protein
51157,interacts_with,125115,protein,protein
51157,involved_in,GO:0006357,protein,function
C0751708,has_phenotype,C0005745,phenotype,phenotype
C0751708,has_phenotype,C0026827,phenotype,phenotype
C0751708,has_phenotype,C0239676,phenotype,phenotype
